0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-37.4616772208029,12.716687561099285,6.358343780549642,3.179171890274821,1.5895859451374106,0.7947929725687053,25.264019260151763,12.632009630075881,6.316004815037941,3.1580024075189703,1.5790012037594852,0.7895006018797426,25.25262506726556,12.62631253363278,6.31315626681639,3.156578133408195,1.5782890667040974,0.7891445333520487
0.0,-21.91001050067627,3.179171890274821,1.5895859451374106,0.7947929725687053,0.39739648628435265,12.632009630075881,6.316004815037941,3.1580024075189703,1.5790012037594852,0.7895006018797426,0.3947503009398713,12.62631253363278,6.31315626681639,3.156578133408195,1.5782890667040974,0.7891445333520487,0.39457226667602435
0.0,0.0,-11.74979822290684,0.7947929725687053,0.39739648628435265,0.19869824314217632,6.316004815037941,3.1580024075189703,1.5790012037594852,0.7895006018797426,0.3947503009398713,0.19737515046993565,6.31315626681639,3.156578133408195,1.5782890667040974,0.7891445333520487,0.39457226667602435,0.19728613333801218
0.0,0.0,0.0,-6.073597354595597,0.19869824314217632,0.09934912157108816,3.1580024075189703,1.5790012037594852,0.7895006018797426,0.3947503009398713,0.19737515046993565,0.09868757523496782,3.156578133408195,1.5782890667040974,0.7891445333520487,0.39457226667602435,0.19728613333801218,0.09864306666900609
0.0,0.0,0.0,0.0,-3.086473238083342,0.04967456078554408,1.5790012037594852,0.7895006018797426,0.3947503009398713,0.19737515046993565,0.09868757523496782,0.04934378761748391,1.5782890667040974,0.7891445333520487,0.39457226667602435,0.19728613333801218,0.09864306666900609,0.049321533334503044
0.0,0.0,0.0,0.0,0.0,-1.5556552592380573,0.7895006018797426,0.3947503009398713,0.19737515046993565,0.09868757523496782,0.04934378761748391,0.024671893808741956,0.7891445333520487,0.39457226667602435,0.19728613333801218,0.09864306666900609,0.049321533334503044,0.024660766667251522
0.0,0.0,0.0,0.0,0.0,0.0,-37.20662640297849,12.83555540426899,6.417777702134495,3.2088888510672473,1.6044444255336237,0.8022222127668118,25.3908987062337,12.69544935311685,6.347724676558425,3.1738623382792124,1.5869311691396062,0.7934655845698031
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.812202052556493,3.2088888510672473,1.6044444255336237,0.8022222127668118,0.4011111063834059,12.69544935311685,6.347724676558425,3.1738623382792124,1.5869311691396062,0.7934655845698031,0.39673279228490155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.708323239045058,0.8022222127668118,0.4011111063834059,0.20055555319170296,6.347724676558425,3.1738623382792124,1.5869311691396062,0.7934655845698031,0.39673279228490155,0.19836639614245077
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.054717172714232,0.20055555319170296,0.10027777659585148,3.1738623382792124,1.5869311691396062,0.7934655845698031,0.39673279228490155,0.19836639614245077,0.09918319807122539
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0774974746550416,0.05013888829792574,1.5869311691396062,0.7934655845698031,0.39673279228490155,0.19836639614245077,0.09918319807122539,0.04959159903561269
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5512834594020024,0.7934655845698031,0.39673279228490155,0.19836639614245077,0.09918319807122539,0.04959159903561269,0.024795799517806347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.29201243488275,12.889979929145454,6.444989964572727,3.2224949822863636,1.6112474911431818,0.8056237455715909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.868501199727742,3.2224949822863636,1.6112474911431818,0.8056237455715909,0.40281187278579544
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.739874345435462,0.8056237455715909,0.40281187278579544,0.20140593639289772
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.071343109110629,0.20140593639289772,0.10070296819644886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0860230386535386,0.05035148409822443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5555993903513254
