AAPL,ACN,ADBE,AMAT,AMD,AVGO,CRM,CSCO,IBM,INTU,KLAC,LRCX,MSFT,MU,NOW,NVDA,ORCL,PANW,QCOM,TXN
0.0,0.25873711186168435,0.3445170730729429,0.3972641304428493,0.3747583888760172,0.39986368737985306,0.3094253493037319,0.47578088834113724,0.29344750096458994,0.23181927865084787,0.4074933444796929,0.4217817939866298,0.3691076157728895,0.3186714515271445,0.3007492152376119,0.4845061567114166,0.1178481200781914,0.36268734524995205,0.4895610184951618,0.4345188913767973
0.25873711186168435,0.0,0.5377204793276892,0.16426633683504643,0.13682847426332861,0.12065269596470193,0.5509404405954165,0.2504452702044769,0.45245513806290055,0.4741294926679253,0.16987118512194477,0.16193426665353594,0.2970088114174886,0.0851679175559176,0.49735159058091466,0.14660661089768948,0.09798480013818851,0.41380203327817383,0.4119214411320527,0.3154478173319678
0.3445170730729429,0.5377204793276892,0.0,0.061902976551281935,0.1289448447585487,0.14942825217883832,0.6962567695243977,0.12998482893964808,0.363885925361674,0.5798096517434127,0.07402961471251183,0.0730304202709651,0.38461012737251005,0.06248045461474423,0.5775327389586792,0.17380162951433875,0.09246450775313642,0.4558747454295934,0.417964271755875,0.281097713684152
0.3972641304428493,0.16426633683504643,0.061902976551281935,0.0,0.5503000086417944,0.5588083331654077,0.18898603665672545,0.4722487522672367,0.21208624576140656,0.11676772506251205,0.8719042271450006,0.883605578959191,0.2790617804548844,0.6864583068706915,0.167614336354943,0.6056176226488885,0.29277614359056403,0.2447223910207427,0.5167654825551381,0.5039129422914699
0.3747583888760172,0.13682847426332861,0.1289448447585487,0.5503000086417944,0.0,0.4691879563878241,0.17338882046896104,0.4251161442631918,0.24648400945944005,0.09454933232931206,0.5586368219025669,0.5782235169088094,0.38152028577120944,0.5148325783864585,0.20907050547166428,0.6164616789707952,0.3084349847673867,0.2562239437419025,0.44754666455846587,0.3729935293901082
0.39986368737985306,0.12065269596470193,0.14942825217883832,0.5588083331654077,0.4691879563878241,0.0,0.2681716263861826,0.3841225199223113,0.2681091003261137,0.24285473313700323,0.5892307223250223,0.5982396283406194,0.46001770552687127,0.5329917835852064,0.36175678876541634,0.687989577551172,0.5350274578635608,0.3917891950885544,0.43472225403362,0.3311606497903523
0.3094253493037319,0.5509404405954165,0.6962567695243977,0.18898603665672545,0.17338882046896104,0.2681716263861826,0.0,0.15573623923027058,0.32319671665153465,0.6067336998602287,0.16608565087327512,0.1506397133381453,0.4973629888214167,0.17711783030150072,0.7314010753570489,0.28462198075638234,0.23124422791930307,0.5745240362479827,0.4158704062299906,0.2625749203024348
0.47578088834113724,0.2504452702044769,0.12998482893964808,0.4722487522672367,0.4251161442631918,0.3841225199223113,0.15573623923027058,0.0,0.30909800172138835,0.19380887163397306,0.4199546490006884,0.4191926313013613,0.33901720143136266,0.3371958424815937,0.17377517991035346,0.438866447800365,0.22106456854839482,0.29102944451391505,0.33270778818079827,0.3532129930439014
0.29344750096458994,0.45245513806290055,0.363885925361674,0.21208624576140656,0.24648400945944005,0.2681091003261137,0.32319671665153465,0.30909800172138835,0.0,0.40732368026051907,0.24933046928166594,0.2556222421909163,0.22032109647510686,0.19326445551148258,0.20972191099903767,0.2335877132622669,0.14884898787510165,0.3378130518618878,0.3173242568316445,0.1620294881779331
0.23181927865084787,0.4741294926679253,0.5798096517434127,0.11676772506251205,0.09454933232931206,0.24285473313700323,0.6067336998602287,0.19380887163397306,0.40732368026051907,0.0,0.14953937548736074,0.10331702260074073,0.46406221494658345,0.11132616631373847,0.6331413789211107,0.23675849036234947,0.18342189696240796,0.4914195742631272,0.35211065756694854,0.1577368563901142
0.4074933444796929,0.16987118512194477,0.07402961471251183,0.8719042271450006,0.5586368219025669,0.5892307223250223,0.16608565087327512,0.4199546490006884,0.24933046928166594,0.14953937548736074,0.0,0.886049234794705,0.28118132141138946,0.6650919326959855,0.14861826190623234,0.6270664777665927,0.30072469751384223,0.26917832844329226,0.5339587381505407,0.4867867813391929
0.4217817939866298,0.16193426665353594,0.0730304202709651,0.883605578959191,0.5782235169088094,0.5982396283406194,0.1506397133381453,0.4191926313013613,0.2556222421909163,0.10331702260074073,0.886049234794705,0.0,0.29345344118577027,0.7812007518600577,0.14671440870018768,0.639220618418883,0.290638797098327,0.24407893944971187,0.5259649046608466,0.5351791567900236
0.3691076157728895,0.2970088114174886,0.38461012737251005,0.2790617804548844,0.38152028577120944,0.46001770552687127,0.4973629888214167,0.33901720143136266,0.22032109647510686,0.46406221494658345,0.28118132141138946,0.29345344118577027,0.0,0.28671389656288704,0.5558951726434946,0.55053973052082,0.38494299805945015,0.5108832236017802,0.2932479114222867,0.20187146212442844
0.3186714515271445,0.0851679175559176,0.06248045461474423,0.6864583068706915,0.5148325783864585,0.5329917835852064,0.17711783030150072,0.3371958424815937,0.19326445551148258,0.11132616631373847,0.6650919326959855,0.7812007518600577,0.28671389656288704,0.0,0.16361469607330828,0.557696431449296,0.28893767128966924,0.21683160379411914,0.4444069758089818,0.4954444308453543
0.3007492152376119,0.49735159058091466,0.5775327389586792,0.167614336354943,0.20907050547166428,0.36175678876541634,0.7314010753570489,0.17377517991035346,0.20972191099903767,0.6331413789211107,0.14861826190623234,0.14671440870018768,0.5558951726434946,0.16361469607330828,0.0,0.3044294265364639,0.28375137553638324,0.6108010305680265,0.42632510906490356,0.28529102519723804
0.4845061567114166,0.14660661089768948,0.17380162951433875,0.6056176226488885,0.6164616789707952,0.687989577551172,0.28462198075638234,0.438866447800365,0.2335877132622669,0.23675849036234947,0.6270664777665927,0.639220618418883,0.55053973052082,0.557696431449296,0.3044294265364639,0.0,0.45779825405305846,0.36967343882718007,0.4753872732371069,0.36858203444636123
0.1178481200781914,0.09798480013818851,0.09246450775313642,0.29277614359056403,0.3084349847673867,0.5350274578635608,0.23124422791930307,0.22106456854839482,0.14884898787510165,0.18342189696240796,0.30072469751384223,0.290638797098327,0.38494299805945015,0.28893767128966924,0.28375137553638324,0.45779825405305846,0.0,0.3441707815847676,0.2410441755065201,0.16528631253225448
0.36268734524995205,0.41380203327817383,0.4558747454295934,0.2447223910207427,0.2562239437419025,0.3917891950885544,0.5745240362479827,0.29102944451391505,0.3378130518618878,0.4914195742631272,0.26917832844329226,0.24407893944971187,0.5108832236017802,0.21683160379411914,0.6108010305680265,0.36967343882718007,0.3441707815847676,0.0,0.4261766798130109,0.26315915207964996
0.4895610184951618,0.4119214411320527,0.417964271755875,0.5167654825551381,0.44754666455846587,0.43472225403362,0.4158704062299906,0.33270778818079827,0.3173242568316445,0.35211065756694854,0.5339587381505407,0.5259649046608466,0.2932479114222867,0.4444069758089818,0.42632510906490356,0.4753872732371069,0.2410441755065201,0.4261766798130109,0.0,0.5402950559555119
0.4345188913767973,0.3154478173319678,0.281097713684152,0.5039129422914699,0.3729935293901082,0.3311606497903523,0.2625749203024348,0.3532129930439014,0.1620294881779331,0.1577368563901142,0.4867867813391929,0.5351791567900236,0.20187146212442844,0.4954444308453543,0.28529102519723804,0.36858203444636123,0.16528631253225448,0.26315915207964996,0.5402950559555119,0.0
