gamma,beta,lambda_1,lambda_2,lambda_3,n,mean_delta,std_delta,lcb,t_stat,p_value,caa_sharpe_mean,aa_sharpe_mean,p_fdr
11.513941663317382,4.902621794678271,6.043311521969735,4.517239795066416,4.3772963813506065,40.0,0.2231403349384542,0.061968483894811126,0.1993717525296337,22.773889303347918,3.892967155229814e-24,3.133537480550379,2.910397145611925,9.965995917388324e-23
8.593527323566377,2.3907039877027274,6.449239488504827,3.990474861115217,2.8740833469666542,40.0,0.19091813978956645,0.10620394920833608,0.15018263747865881,11.36937322722575,5.980516247521952e-14,2.9137492687533078,2.7228311289637412,3.97665495939122e-13
15.012584791518748,3.0794980318285528,8.569889453332872,8.297465536743402,18.607819492835553,40.0,0.16354178428932525,0.06118802554454,0.14007255386475792,16.904109140954542,1.515482502080445e-19,3.222831583213533,3.0592897989242074,2.097100110986994e-18
13.273486747406423,2.4695776122622193,7.698594703152776,68.20556168537587,12.855784035567194,40.0,0.15710385636608026,0.05296038725025017,0.13679041234351283,18.761419283633003,4.0159349539867515e-21,3.0647498563236155,2.907645999957535,7.343423915861488e-20
7.875530905090272,4.592665719054639,7.924362752866,37.78502635192126,10.702428558934479,40.0,0.15280933052263623,0.0562865919077162,0.13122009008646307,17.170182659816515,8.843067577666002e-20,3.060927586147061,2.908118255624425,1.2936144570757122e-18
15.573144622147083,4.556201838701964,9.566870120726525,12.917858347296715,20.242422284092754,40.0,0.14230485585184072,0.030519236919967153,0.13059892160600875,29.490086385439135,2.815529879555784e-28,3.195706077855049,3.0534012220032083,1.3105011803023284e-26
15.868597039952874,3.4355362853035336,7.547697482164949,54.402906101197004,12.407362188864498,40.0,0.14233154231016396,0.05213204383308341,0.12233581703003264,17.26737812259377,7.275117768783533e-20,3.0621754043523604,2.919843862042196,1.0955471463579909e-18
12.2734758220613,2.718382481765002,2.0419261605478822,179.4498076820746,13.7849374756217,40.0,0.15975137824112434,0.10607729664104858,0.11906445468821844,9.524718871795388,9.975550818083331e-12,3.6219245392241968,3.4621731609830717,4.911040402748717e-11
17.20317463390529,3.515652892459184,9.506018886715173,46.70129392389208,16.47152490383014,40.0,0.14267512732597729,0.062424589307465236,0.11873160148774871,14.455148934417148,2.981554353850165e-17,3.07533991035402,2.9326647830280423,3.053111658342569e-16
15.529018562287092,1.6712462744675578,9.236257363762707,80.18292848207057,15.010447541158646,40.0,0.1389404434027317,0.05309010203002674,0.11857724608237512,16.551795663072916,3.123950453840021e-19,3.041758303925812,2.90281786052308,4.10118623683613e-18
6.837538252584636,4.8188037757761775,9.767365792766213,64.0925794634968,17.78460268890485,40.0,0.13765127948690456,0.05128487479611182,0.11798049368897262,16.975436432108985,1.3108692881733091e-19,3.0822828662781525,2.944631586791248,1.864347432068706e-18
4.685510413721204,1.3100188004784288,8.094330667704345,48.86778501048684,14.176809074822813,40.0,0.14249537782639426,0.06564177115832227,0.11731787227557407,13.72936598224405,1.6109585119084584e-16,3.08007620063644,2.9375808228100455,1.3746845968285512e-15
10.247204220853746,3.3580032790079715,4.4085833682678635,9.447775285691023,8.176251693814992,40.0,0.12354845693604537,0.02017049644661719,0.11581187735743177,38.73920766909582,9.539636146171297e-33,3.150283841502938,3.026735384566893,6.977562438342435e-31
9.932793241925538,0.9624066443182528,6.436690037697553,43.19118927139789,11.518022397253661,40.0,0.12759958099966212,0.049337476711391194,0.10867573766264356,16.35694937552064,4.684150586494639e-19,3.062915558816561,2.9353159778168996,5.849475854354281e-18
1.3013706598430872,4.259441519062966,2.5994355158880356,11.038504160940647,3.371217212639749,40.0,0.13241262535948095,0.07546389788316092,0.10346775269208759,11.097372355370116,1.2369758617236852e-13,3.043052922248279,2.910640296888798,7.630501701235263e-13
2.5818658880889416,4.856579095497727,6.56559713287279,29.37539133988321,13.501460329908877,40.0,0.10896743402673667,0.04700951511909403,0.09093650178699472,14.660235547448124,1.870759033898472e-17,3.1065131721179586,2.9975457380912216,1.9547522966449338e-16
19.623949614353478,1.885140950791538,2.221553487889469,193.26558152027428,11.093290114030241,40.0,0.14499285045438565,0.14829236888420438,0.0881139473589598,6.183833400544957,2.876835900264256e-07,3.509169685127516,3.364176834673131,7.876684390028337e-07
5.32312348857522,3.8397933291271333,8.856568852066994,23.53026786632836,11.681838315632193,40.0,0.10180895357365376,0.03860574438343757,0.08700136495507163,16.678770718339287,2.4038112437378716e-19,3.0902384569649906,2.988429503391336,3.2388193599836583e-18
18.56599149480462,2.1281344057060783,6.640140362456441,73.79731856100261,10.202950362954288,40.0,0.10549262530307849,0.0657549353666514,0.08027171457849341,10.146674784129658,1.691484721215514e-12,3.029172779353448,2.9236801540503694,9.516925024860915e-12
5.947176379151642,3.4707773308269685,8.052889768127352,21.830958945676684,0.6453066584654152,40.0,0.08167588264212795,0.0037165798467893463,0.0802503542313099,138.9889789543245,3.439429641595776e-54,2.050180256989408,1.9685043743472803,1.7609879764970372e-51
3.2844294998794794,0.19248717175796629,5.510228868108243,5.613086976110935,10.940626924764365,40.0,0.09849955582577144,0.07041400885798087,0.07149161457748676,8.847186802063211,7.289574059796323e-11,3.151776983972885,3.0532774281471142,3.217467171220446e-10
16.631650069728494,2.317357920110226,0.5569802327081561,61.40274802967906,4.868290606513619,40.0,0.12701453947957614,0.14481273998282512,0.071470280078757,5.54723625504876,2.2020440394934357e-06,3.6472776406953074,3.5202631012157313,5.4730414962166944e-06
2.2685859287157655,4.081799333542586,0.5395020334050059,187.58879599999636,7.05382259171456,40.0,0.12590216440086244,0.14646277013954775,0.06972502074514247,5.436707246112493,3.132758575232652e-06,3.486419430672025,3.360517266271162,7.601764883976862e-06
11.957345956005156,3.168070983048529,6.223856202512979,39.16323421150446,6.6002518623135975,40.0,0.0868496640826265,0.049289734266957354,0.06794413279963286,11.144014331021936,1.0913008257634335e-13,2.933276373618461,2.8464267095358347,6.813975887693634e-13
2.121454152278602,2.753687730897218,0.5894971236586571,154.59467892162502,4.586440712772309,40.0,0.12181879298122604,0.15016191130827636,0.06422280968017874,5.130793078976687,8.282364671875665e-06,3.5385840227545744,3.416765229773348,1.9188102769232313e-05
4.02421214338392,2.261407995782793,6.949599292967468,108.72086981963366,6.950759566854685,40.0,0.11800075908923562,0.14652836200556915,0.061798457069539466,5.093227812600787,9.328308881743773e-06,2.8931724331627797,2.7751716740735444,2.1227085099790274e-05
