combo_id,distance,dist_return,dist_risk,mean_d_return,mean_d_risk,caa_return_mean,aa_return_mean,caa_risk_mean,aa_risk_mean,caa_sharpe_mean,aa_sharpe_mean,n,gamma,beta,lambda_1,lambda_2,lambda_3
324,0.04984888781858983,0.03972293392762462,0.030116442966126044,0.0123871841554829,0.004651400459934009,0.8859979747262365,0.8736107905707537,0.07069822820682523,0.06604682774689122,3.3322263992908008,3.4001026368153346,40,2.7272539865225554,2.842975414451212,9.826805172301828,17.40535725094378,36.097659058496355
451,0.06278832981057114,0.04416642684210928,0.04462847858040497,0.02020911722393646,0.006614051087173984,0.9231113543771468,0.90290223715321,0.0801086112009763,0.07349456011380232,3.2626315259480285,3.330742470345837,40,4.535778444260359,2.044323624484241,7.884820141457022,7.250200857408345,24.391556225810202
251,0.06637055212269709,0.053185701946160305,0.03970303889585595,0.014182066197569862,0.005512437393828153,0.8662669349622952,0.8520848687647252,0.06667997705878512,0.06116753966495696,3.3548398980394736,3.4467915451689963,40,2.304556356742978,2.5447233705781405,4.257619744166732,19.73055915813893,17.105393478646874
384,0.07117383144242577,0.052473957601852396,0.048085320585328675,0.014171382443110092,0.004383011792575035,0.9522482603478142,0.9380768779047042,0.0880812630244785,0.08369825123190346,3.2085780089482725,3.2436760247042544,40,9.29924891423434,4.9276242105290295,8.310115126427263,15.907231217250228,25.2538602123037
148,0.07363296012863106,0.05598099299598225,0.04783242875381051,0.015703470654318128,0.004700142770895923,0.9145059752075166,0.8988025045531984,0.07748786423377858,0.07278772146288266,3.285326251454329,3.332909966241833,40,1.843036251142621,3.2033841543830937,6.317376671079546,14.308178472332656,22.01064033107832
171,0.08817724257981573,0.06912034351591878,0.05475038101439161,0.027155480434835712,0.007866662418982465,0.8969621125279987,0.8698066320931629,0.07409439200254214,0.06622772958355967,3.295432796368142,3.3820830875826795,40,2.101298462599516,2.2278837134130303,8.955349715892226,58.563146063126624,32.68736666366458
80,0.09416650032648072,0.06615188098965613,0.06701685180062895,0.004046558275073842,-0.00010942668353563362,0.9854455776040023,0.9813990193289286,0.0988499918377187,0.09895941852125434,3.134411411894356,3.1209673868524077,40,9.594391419552267,4.107220804691314,5.632187387347221,19.004510446451604,14.486580688413232
198,0.09973759049630905,0.0671416918033026,0.0737535096100502,0.04089995403815141,0.010571742277033253,0.9995692173602263,0.958669263322075,0.1040157558356534,0.09344401355862013,3.0995005609135724,3.13810309570092,40,12.649623707868159,4.29471851112321,4.982129462715238,35.9300560830161,12.959846229851244
215,0.1002164977003183,0.09002023075878107,0.0440420760801953,-0.0019394402611334044,0.0017123481583881945,0.8540987307601104,0.8560381710212438,0.06340163288522316,0.06168928472683497,3.393468566379398,3.4468687607137083,40,6.578661100007594,1.2389855870045723,7.4388034481555225,8.94877678528428,27.7764473637566
20,0.10759025373092737,0.07712789938686573,0.07501299776741925,0.0038546518718417188,0.0007258777342464849,0.9751882752879816,0.9713336234161398,0.09537748067967325,0.09465160294542677,3.157693192465497,3.159572444484129,40,1.690690852701664,4.194705548323691,9.86227470599115,26.278117670677602,27.39358097650111
87,0.11215974966579452,0.07939634068019212,0.07922140198007459,0.02141175465661583,0.004456457941574075,0.9998292836759003,0.9784175290192844,0.104187829238978,0.09973137129740392,3.097704041760425,3.100183013297824,40,6.43645132984966,1.5605321595445276,8.818229591939598,47.3605465143919,22.23690443141386
454,0.1137572318595013,0.08387897536398176,0.07684416238221926,0.040508993384673786,0.011045501385043264,0.9953624441302107,0.9548534507455368,0.10270891296310894,0.09166341157806566,3.1064599293648376,3.1551814857805702,40,12.705806449986994,2.877086752094329,9.640733525156975,59.60585154592991,26.075292267277838
445,0.11661757870762751,0.09216884574268173,0.07144622829857035,0.007563035105760949,0.003962524538940966,0.8663321190440755,0.8587690839383144,0.06669798561551846,0.06273546107657749,3.3584782982469443,3.429553757457542,40,17.826518427580595,1.7970483880490067,7.600135685130954,31.9791714604944,29.690937029384077
44,0.11675925770662679,0.07540274580286699,0.08914679010256461,0.02479594174465104,0.004727375245165341,1.0005173011432564,0.9757213593986052,0.10484288623083068,0.10011551098566533,3.0904489618266773,3.0861299251174596,40,5.021945280954242,2.663723525032401,8.383667002338916,68.71981922350824,19.419223511684688
379,0.11873849871647832,0.0855314860568573,0.08236016009181107,0.04024104094360681,0.010741865853449046,0.9728672128312856,0.9326261718876789,0.09586026060398936,0.08511839475054031,3.142412590154936,3.1996773706429584,40,2.3941217735409737,1.3686224709264936,7.514743992127478,61.660424921661615,21.915780580136925
41,0.11902405661170803,0.08908743001733661,0.07893133639571315,0.0025290178097763156,0.0018349093195427202,0.9098413374995659,0.9073123196897896,0.0767518645007986,0.07491695518125588,3.287155026978675,3.315491289789725,40,10.809345765970647,2.271493808180094,9.141424276586623,16.898692443035543,30.265286661684513
312,0.1195410421619468,0.09864331210366402,0.06752449732047974,0.0006620168246324581,0.0012933933827540122,0.8215259267331898,0.8208639099085573,0.05740154661184432,0.05610815322909031,3.4292021654713785,3.4701677361838916,40,7.139625175856054,4.308856457006186,6.393352583330125,67.21415068488568,28.655435946024955
319,0.12253762599535609,0.1008278632790981,0.0696362820026261,0.011613102505954723,0.0031349054929392974,0.8438393660709632,0.8322262635650084,0.06227762084856118,0.05914271535562188,3.3837987328670716,3.424502511602003,40,8.740421100519598,1.4578894362784924,8.018314629606904,95.55823350325227,33.2617045847699
510,0.1255874451417892,0.07485546199296479,0.10084079624369158,0.009884713334946995,-0.00030648877470369,1.0018168871870035,0.9919321738520563,0.10473660607854232,0.105043094853246,3.095637798048834,3.0627532712254566,40,13.08099580835551,3.7949461158365017,8.644331990275532,48.40969603229314,20.831512593198568
22,0.12779478874590336,0.07889692684247254,0.1005324970615154,0.02916031245767251,0.005056813090678254,1.0108420892495935,0.9816817767919211,0.1081710358651429,0.10311422277446465,3.073677390369684,3.0606830485232,40,10.622474481351674,3.7075625810772186,6.827245572861284,62.70303069520742,15.212335067708045
150,0.1284660948157573,0.10012357903770513,0.08049103327633184,0.030821112211609943,0.007744595594468445,0.8910043788613257,0.8601832666497156,0.07337333637609325,0.0656287407816248,3.290641371894393,3.3627595827490024,40,10.774831275455654,3.999132863339037,9.42967476081103,99.70461202505976,34.77941198907793
102,0.13377635430397378,0.10325323869320048,0.0850581076101937,0.04167997809218523,0.009747568408923532,0.9119629083663522,0.8702829302741669,0.07886604910400696,0.06911848069508343,3.2499658179274418,3.3139867824885507,40,12.18263440951705,3.8322479333728556,7.321391919441521,102.1376711782068,25.548675142601134
267,0.13403528179664354,0.11275602128402017,0.07246748533310117,0.0063463384915415,0.001636987940152956,0.7901505225240687,0.7838041840325272,0.05187532514608602,0.05023833720593307,3.4700218731859858,3.504253872040303,40,1.4282373199239373,1.262851394992322,6.633921234216541,103.17876537423581,31.460329356044532
366,0.1384872658633571,0.11740123666596128,0.07345524103568858,0.0020706860537881623,0.0007608346330415624,0.7746096237904766,0.7725389377366885,0.04884725447415997,0.04808641984111841,3.5066600418405187,3.5295804890537648,40,14.787305999547243,4.868329099752009,9.9955261063762,145.8782090563327,49.44328054953367
