combo_id,n_degenerate,mad_risk,sd_risk,mad_return,sd_return,mad_sharpe,sd_sharpe,score,aa_raw_sum_mean,caa_upper_raw_sum_mean,caa_inner_min_mean,worst_raw_dev,frac_merged_communities,lambda_1,lambda_2,lambda_3
100,0.0,0.002149405875954854,0.0025480022713032847,0.014288597752356113,0.013312976652213556,0.06666838772014164,0.03951214118526437,0.3378383704318264,1.047265625,1.047265625,0.938671875,0.234375,0.225,6.791209572931716,20.51912070510728,29.950081263219445
81,0.0,0.0018662467454542877,0.002032639241685721,0.02368758996553351,0.017891257813969275,0.05562555869421203,0.043248213374949766,0.35778561947936505,1.658984375,1.646875,0.536328125,1.0,0.15,12.753031910387438,1.5009838965875941,65.44423297153723
121,0.0,0.0015773501092633201,0.0018562863724653294,0.020459993075732114,0.01649052146305079,0.06567374812630027,0.05081731050711752,0.36094648243497596,1.765625,1.74609375,0.582421875,0.953125,0.3,10.938100193877546,1.1204713056103324,52.57356764596313
99,0.0,0.003028871893826003,0.003780808977053647,0.017924280613304228,0.016202495188699775,0.04769091041213316,0.05097422634478851,0.37700737896908776,1.130078125,1.13125,0.8890625,0.265625,0.325,4.81811347595061,5.931215732753372,18.536157104501015
71,0.0,0.0026131152455912293,0.0029716187022927124,0.024450342409562023,0.016902402643465278,0.054120058532992024,0.043887033507718796,0.3848152182524872,1.15625,1.15546875,0.831640625,0.546875,0.175,3.7347819671324203,3.38429046451691,16.480400546524475
58,0.0,0.004335394441244614,0.005417836593388911,0.014733353271825234,0.019390109010227665,0.035675813070972506,0.03772759992949093,0.3860517730769328,1.09453125,1.094140625,0.952734375,0.265625,0.175,21.21929624801739,41.80697120626459,61.17627192374929
11,0.0,0.0011097928934973374,0.0013420122738012896,0.021807249309399878,0.015191139296829432,0.09350772408248333,0.05141989642578797,0.39462831482259564,1.1875,1.1765625,0.38359375,0.984375,0.25,8.091712121953568,1.6361024667937056,76.99304495268427
33,0.0,0.0025610582147685265,0.0022446735391149597,0.03272167074980817,0.02122649275224801,0.045484364909032425,0.043743046674179,0.4004377537481409,1.375,1.386328125,0.626953125,0.9375,0.25,13.834454447117315,3.3048188204967874,76.14907749448753
18,0.0,0.004095128690822822,0.005175215716849256,0.015359560188401483,0.019355405225333553,0.042310670523653296,0.04644162971172866,0.4028213099719727,1.12578125,1.123828125,0.938671875,0.265625,0.175,22.75165345805465,32.3147495373137,71.25549239552963
38,0.0,0.0026813184750284933,0.003210672065850245,0.020309953851683122,0.016668558443127916,0.07065356428540931,0.04628699585869294,0.40561521915443166,1.109375,1.101953125,0.89296875,0.21875,0.225,10.632171464238137,14.779943273050362,47.27087240257486
25,0.0,0.0013096651976909229,0.0014620058507050198,0.023684040496776575,0.015012571436993088,0.09516722041228523,0.04867637749274083,0.4061330993931783,1.25,1.234765625,0.4296875,0.984375,0.125,10.514712719268939,2.185511551045979,86.41568350732896
75,0.0,0.0031368638949214474,0.003221531747808162,0.026121443449435556,0.01672973804773676,0.05127173643413252,0.05142703649952915,0.40949203163478237,1.15625,1.15546875,0.86796875,0.53125,0.1,8.352807213829848,7.949436638801538,35.27554207431861
86,0.0,0.0030288297677069234,0.0031573347680170613,0.02418150812094999,0.015736970640680283,0.059473021400579265,0.05668556927861487,0.41757797599912294,1.036328125,1.03671875,0.950390625,0.203125,0.2,8.89349629723252,34.71899535300126,40.818996338006876
90,0.0,0.0027009496635405734,0.003336737971188839,0.02458604025567091,0.019039521958321218,0.06492739078496337,0.04865705160873643,0.42343838546757157,1.046875,1.046875,0.92890625,0.25,0.175,20.273062121054792,62.01054904397655,94.77253420936468
110,0.0,0.0030578785664557404,0.0032465516249166,0.02844508672132003,0.018521162280669853,0.05558571902537174,0.05349574321758293,0.43208776233444257,1.09375,1.097265625,0.870703125,0.421875,0.225,11.930254624201023,17.515532344492247,55.43162997365836
107,0.0,0.0021141381947329687,0.0019643073230362434,0.032084955153964576,0.019586916289430815,0.07391536664625792,0.045385916984031285,0.4321023747063803,1.265625,1.262109375,0.582421875,0.875,0.325,7.62953959334025,2.5986964206255814,46.88549551879146
59,0.0,0.003179604973209698,0.002278605321894134,0.03833836801591463,0.01810322079767808,0.050576684608151345,0.04445907697030659,0.43511262993685973,1.37421875,1.376171875,0.669921875,0.890625,0.175,7.121346572424374,2.1034873795174756,34.04124622437169
42,0.0,0.0034668798914752877,0.002866498072181185,0.03655465674208648,0.019280516478421578,0.05087917474286624,0.04479525258579671,0.44716088346256905,1.125,1.1265625,0.844921875,0.375,0.325,16.156900459486142,16.407600906134572,81.98900262583409
104,0.0,0.0028934264978138996,0.0035266329182028003,0.025955190846674248,0.021807663751858698,0.06778307242824504,0.04914179012748169,0.44843372804502124,1.048828125,1.049609375,0.933984375,0.265625,0.15,4.137772380245396,11.494567653980345,19.383629375977467
55,0.0,0.0032730745003983763,0.0038175025321623155,0.025679332310113868,0.02125299927237919,0.05751890299991974,0.059798562377495285,0.45375791420341854,1.440625,1.433203125,0.678515625,0.84375,0.175,4.59777217462742,1.4407666998489188,17.046342742460453
5,0.0,0.003327168749652939,0.00437987733829223,0.017027899741043344,0.02237063963457107,0.0694617649236687,0.06177227880940566,0.457582716219047,1.5,1.48515625,0.820703125,0.53125,0.225,20.85637207472957,6.235558843565179,67.56596184526441
115,0.0,0.003389059489466836,0.003162616583493584,0.03135616307005414,0.019305203153349156,0.0556868530762626,0.061971578630709706,0.4615956360888017,1.5625,1.55546875,0.776953125,0.953125,0.225,6.346500383570153,1.3467474490596514,24.84232833618977
74,0.0,0.005198756688680511,0.005388763935470749,0.024891376704573823,0.02112684763519445,0.037564963792343864,0.049928797424897295,0.46437868353348066,1.3125,1.302734375,0.864453125,0.609375,0.175,18.075135413586313,10.341042340469091,49.189369264411994
35,0.0,0.0011236106399288574,0.0012814590854400563,0.0289145573190962,0.016494696460157353,0.12282056893610545,0.045333661196489856,0.4670008535063155,1.09375,1.078125,0.380078125,0.828125,0.225,4.971131423481177,1.2679150441230218,56.643691100340284
126,0.0,0.004398536614757173,0.00221113815590759,0.04396442865646246,0.02017402890518805,0.04335864110371358,0.04468575979516439,0.4725879424704522,1.046875,1.046875,0.91171875,0.1875,0.175,15.721300167763536,44.81989600782615,84.25597359270044
92,0.0,0.003056309676082583,0.0031566582164219204,0.03285349440514395,0.02785482186828099,0.05767492512842757,0.05124916424458643,0.473691420732441,1.0140625,1.015625,0.95703125,0.140625,0.225,4.897889202377191,41.022255426678385,32.95691406248965
117,0.0,0.002980214197161658,0.003333276086536949,0.02937447966175923,0.023328248862516283,0.06429569163185242,0.06515794175253374,0.4790007127766709,1.718359375,1.7046875,0.657421875,1.0,0.175,18.299278400360013,2.630493062572114,73.75274801661864
9,0.0,0.0038527651578381754,0.0024813599440794095,0.043998543204745964,0.021808701034951323,0.046521264341576364,0.04702202309895324,0.4790102833329388,1.234375,1.241796875,0.71640625,0.578125,0.325,10.07277085308888,4.268711647201973,57.28135560943314
15,0.0,0.004457449602360648,0.0019451003788616289,0.04788665351065462,0.015952396384970677,0.04957752949561926,0.05008377346312167,0.49046246139201294,1.046875,1.046875,0.88203125,0.328125,0.25,3.3279100397667043,8.522626664939555,19.910437348193874
43,0.0,0.005247067037607782,0.005344547433882856,0.028474193518038298,0.022551193226766707,0.03733743409656322,0.0582295372264352,0.4923424534845247,1.344140625,1.330078125,0.91640625,0.65625,0.375,7.990624580144165,4.075529073907472,22.395351379182763
3,0.0,0.003567243014561765,0.002681924900338628,0.04339726328879562,0.02450082455991798,0.05473755037331461,0.04814878181307261,0.4973482322371938,1.171875,1.169921875,0.718359375,0.71875,0.25,5.047970115139806,3.1500439744823776,29.198507933994915
30,0.0,0.005193163419320979,0.005577917645320694,0.018804945128395572,0.02434452878519788,0.06443861860785309,0.05123595010730229,0.5019161550495963,1.033203125,1.03515625,0.966015625,0.15625,0.3,14.715948983862228,66.47943919622394,54.29082863342039
118,0.0,0.004737286259327893,0.005628702703231596,0.018385246848343462,0.023101399399460168,0.06499900593663759,0.060804245955970476,0.5020899992312557,1.17578125,1.17109375,0.878515625,0.484375,0.3,9.733187807432415,9.244440047528244,33.82603255647267
65,0.0,0.004453421716661498,0.005811111138172879,0.020637068202171403,0.027484353406135774,0.05651839579151552,0.06764255360988447,0.513868747968909,1.375,1.367578125,0.82265625,0.734375,0.1,15.45937928928989,6.670646235714002,48.47639183543057
127,0.0,0.0024655393572952803,0.0016636876930317542,0.04383939626391647,0.02098870693504796,0.0962822980732285,0.052480578919871776,0.5301974126173394,1.081640625,1.08359375,0.6703125,0.671875,0.225,2.7790581676492914,2.2454509029097283,23.35846876622229
77,0.0,0.004348486533691781,0.0035981149556486253,0.039714110081505424,0.0223090223865547,0.054898799423439525,0.0680738155717851,0.5329641792251831,1.828125,1.7953125,0.655078125,1.0,0.15,25.357631409514813,3.998694202337669,79.83824168867427
87,0.0,0.003618646836474837,0.002117277930631322,0.04850282179403946,0.01904941504311934,0.07010323751619929,0.05837663172182763,0.5338156590179636,1.13359375,1.137890625,0.703515625,0.71875,0.2,4.190668846605161,2.9081331125165253,27.992960425498264
27,0.0,0.004549211408424372,0.003039979761328154,0.04856188739040738,0.027817302695890365,0.04733957143189834,0.04930201225869706,0.5390983391591635,1.125,1.12890625,0.721484375,0.625,0.275,6.691134393125654,5.69730064904996,39.96427427068633
14,0.0,0.0030893761831911346,0.002302802967258543,0.04601623003375558,0.024970959686995444,0.07484179395405541,0.05665405381744166,0.539325929455327,1.109375,1.10625,0.73671875,0.46875,0.225,13.139942563505876,11.03933575544808,92.21626702048482
70,0.0,0.004053981295679252,0.0024399790319420776,0.052487623030655,0.022681537118147285,0.06763688900086919,0.04960112592134367,0.5563473109500728,1.04765625,1.0515625,0.860546875,0.421875,0.175,11.68008410345005,22.685959729924694,78.64455350433452
32,0.0,0.00421351791739996,0.004191295586305062,0.037109736638393655,0.03010340430410482,0.059446823157960384,0.07028158952220823,0.5619008329570697,1.016015625,1.015625,0.96640625,0.171875,0.325,2.6964309271681346,22.045001292856313,15.929576928689523
41,0.0,0.004685890398037086,0.004343363840439842,0.04134375422301497,0.028135002413520672,0.052401644990655416,0.0674501315211167,0.5677832467422875,1.703125,1.693359375,0.752734375,1.0,0.2,8.75679570454317,1.5638121138213066,30.189261540592305
44,0.0,0.004014755952470582,0.002870379460488284,0.04937220104092575,0.024922531298428932,0.06958789530057155,0.062291824968209675,0.5765962120774464,1.051953125,1.054296875,0.852734375,0.453125,0.275,5.586543030573449,10.721508569296738,36.444236879956634
54,0.0,0.003688674146906684,0.00308108695376958,0.04610468757951996,0.026015260465214785,0.0803939673622101,0.0615444960825437,0.5820194159676644,1.0171875,1.016015625,0.9359375,0.203125,0.2,9.479483933902449,49.710013439337224,63.35219915617585
4,0.0,0.009902048942613133,0.00541139292680076,0.03286857728664363,0.017057388202576948,0.05289243881481091,0.03793099618938548,0.5871103046027353,1.10625,1.098046875,0.950390625,0.25,0.175,7.2036238062243125,14.331182483422792,17.952121449516902
24,0.0,0.003533915286807486,0.003822709298955473,0.037681267609697255,0.03126890809663246,0.07349250155016138,0.08399383978302451,0.5906414579007679,1.00625,1.012109375,0.962890625,0.140625,0.275,3.5616378126714228,43.79079389415021,23.998579696549893
52,0.0,0.005167483878353781,0.0024237461097982773,0.059117275962808635,0.0203399191449404,0.06493824497981039,0.05431589314899994,0.5976688712161329,1.046875,1.04921875,0.882421875,0.40625,0.3,8.649170760582324,19.06676698800877,52.89581506257144
49,0.0,0.005404294713996227,0.00477052107268213,0.04292369291626881,0.02727218090388947,0.05694505490556623,0.07234626141324697,0.6060996947650004,1.6875,1.65390625,0.74296875,0.953125,0.25,13.296763736261894,2.826201663266467,39.81265309769107
123,0.0,0.002601544296822412,0.0019621995016719093,0.04775848100754615,0.025184276673963384,0.12051114079799925,0.059502970077108856,0.6148040673837885,1.1140625,1.1140625,0.601953125,0.8125,0.25,7.316059754630975,3.8451849032362317,62.83186083179374
61,0.0,0.0032535798911107047,0.0036172308028664724,0.04335832500037472,0.040872041121707885,0.08980410885710634,0.05101686261788271,0.6151065147974242,2.71875,2.58359375,0.660546875,1.796875,0.3,28.0809108493604,1.0451499397258164,97.39228072575362
76,0.0,0.006452651664118297,0.006924310963876697,0.023226231857423302,0.027076769453356374,0.07589852460496203,0.07103771908779785,0.6165909301973342,1.06171875,1.0625,0.941015625,0.234375,0.15,5.939297232431815,15.902755763800021,21.845992264693137
7,0.0,0.001166751360604538,0.0010018193324405028,0.0375330754861193,0.02135349803242658,0.16149040478724283,0.07775884164328786,0.6186901480294815,1.015625,1.011328125,0.41640625,0.890625,0.225,3.836316936014779,1.8175025108027545,50.36088709968082
124,0.0,0.003747568611129819,0.0023599061583712247,0.055376570798411316,0.025608952759559878,0.08994117474709054,0.059463077104257155,0.6195863563113455,1.031640625,1.03359375,0.862109375,0.453125,0.15,5.227074987130291,13.073453323153927,38.89798700006152
17,0.0,0.0075662762935764655,0.006287696058256074,0.03356252418629681,0.02247997963307758,0.06084124747708608,0.0681939897171242,0.624811150338812,1.3125,1.296875,0.927734375,0.328125,0.125,12.11646499962984,7.087295187906949,32.68048924040163
39,0.0,0.003611101947871849,0.0026310091290909386,0.052146524467111,0.028520095927899104,0.08718579677391523,0.07376528987001561,0.6308972936303499,1.046875,1.04765625,0.811328125,0.453125,0.2,3.499927602617535,6.3722837043505836,25.910408996513205
67,0.0,0.0008313182854466529,0.000975165526518696,0.032815057590219875,0.020994534758414504,0.18670616755299854,0.07463004869082714,0.6329518049072669,0.921875,0.907421875,0.3140625,0.9375,0.15,5.28587748847205,1.9440612836402775,93.0228575340962
78,0.0,0.010510834422842421,0.006450757541192803,0.023295991336960184,0.01653926310579491,0.0789966690691665,0.05147948042678896,0.6407768954843841,1.05625,1.05390625,0.9875,0.125,0.35,13.760711646529524,54.505108850111576,29.397945773280018
105,0.0,0.002080631792696544,0.001269088240397046,0.04856789624430621,0.0199053948655921,0.14876459276527979,0.06887248964150472,0.6438891202739938,1.046875,1.04609375,0.66796875,0.6875,0.4,9.037299918034954,8.906921030266872,89.97513384013963
91,0.0,0.005431879400995488,0.00512101082133299,0.044269257588137205,0.03288249269194608,0.061233070477053154,0.07585722170618338,0.6444636992396638,1.796875,1.76953125,0.69140625,1.0,0.2,6.358352275017049,1.0081128057008368,20.767667309316323
103,0.0,0.0006499276554734455,0.0008325848830810172,0.026893290535396918,0.01926629024097076,0.2026448771370811,0.08870466718028333,0.646583818132624,0.828125,0.800390625,0.260546875,0.90625,0.2,3.6836650387791043,1.185372673362503,82.54858228634835
6,0.0,0.009646372899163768,0.006375413474304973,0.032572150729431426,0.02325683328941912,0.07176857474897293,0.04355399092671235,0.6526595939687218,1.05859375,1.05859375,0.958203125,0.171875,0.275,11.319752045745524,37.35358060246475,34.473153625212085
8,0.0,0.004249384219972732,0.0025909949970365042,0.0579913978369249,0.02749785210356885,0.0831700115480624,0.07247166723290242,0.6530844422776586,1.01875,1.0234375,0.877734375,0.359375,0.25,4.309937218580128,17.04941576073954,32.39862913021329
102,0.0,0.008462278577392703,0.009399778056669994,0.019138068443553452,0.02385978680881599,0.07375878151080244,0.06665226449362976,0.6596279166260501,1.031640625,1.03125,0.98359375,0.078125,0.275,10.154455062605608,70.40832170806846,22.252393346314044
31,0.0,0.0008340156648204203,0.0010596630208058642,0.032667342918594924,0.022026844354741355,0.19098544916951338,0.08710320993028221,0.6602955518767781,0.984375,0.962890625,0.389453125,0.921875,0.175,2.526467854939119,1.076149022946918,38.360753467785806
20,0.0,0.008620665622202834,0.007343528415020815,0.03176290570904293,0.02773034384533883,0.0658438591705951,0.054929749826190775,0.6606927027270743,1.030859375,1.03125,0.979296875,0.09375,0.175,7.517130972713109,48.63931416572268,24.23552066980005
48,0.0,0.0024766087775565633,0.0028626370021515675,0.041305674994531597,0.03329367810740156,0.1247643260306899,0.08641233820690679,0.6668308389366069,1.005859375,1.00546875,0.948046875,0.125,0.125,3.2697603105038455,33.90084762704788,27.262099194550167
80,0.0,0.004800910772628745,0.0054637531480491485,0.03526448529461995,0.03602322137793692,0.08357909943462045,0.09328793606965238,0.6740302536551428,1.001953125,1.0015625,0.983984375,0.046875,0.325,2.929408227260138,52.03497039409946,17.647831747194893
19,0.0,0.008003332078610707,0.00690623420170047,0.03627910614352862,0.026716074830070245,0.06507434527752834,0.07399571722423437,0.6794189201257209,1.375,1.35625,0.867578125,0.671875,0.25,5.651933175637035,2.718356501870365,15.154772431876362
79,0.0,0.0012907394171599034,0.0013264782096231063,0.039699678733330926,0.023822625882524068,0.17828971286369213,0.08498583925360582,0.6795020469759131,1.015625,1.007421875,0.455859375,0.765625,0.2,3.163474369999794,1.5328174403816426,41.68263744103501
34,0.0,0.010667943955923537,0.008983647372983914,0.028146238858276152,0.019208874412702647,0.058380177324215445,0.06009798508318646,0.6822787778913878,1.12265625,1.097265625,0.982421875,0.125,0.325,26.02492819557678,75.63411375689434,30.647686738552114
12,0.0,0.003993134174939396,0.0027212730637455576,0.05992442016501045,0.02947966683949427,0.10214193125519096,0.06836465134869094,0.6902536613269157,1.015625,1.015625,0.899609375,0.25,0.125,6.129055036536759,28.7696830215973,48.1586705235667
