combo_id,run,lambda_1,lambda_2,lambda_3,caa_risk,caa_return,caa_sharpe,aa_risk,aa_return,aa_sharpe,aa_raw_sum,caa_upper_raw_sum,caa_inner_raw_sum_min,caa_inner_raw_sum_mean,caa_inner_raw_sum_max,caa_n_communities
10,0,18.561705262905477,58.42729279095935,16.84060855518808,0.13102638446563344,1.0493412629891823,2.8989276207974055,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.053125,1.125,5
10,1,18.561705262905477,58.42729279095935,16.84060855518808,0.11507955582990753,1.008479089498085,2.972814490306888,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.96875,1.046875,1.125,5
10,2,18.561705262905477,58.42729279095935,16.84060855518808,0.13841144489570933,1.0547574638790331,2.8350884071778304,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.0625,1.109375,5
10,3,18.561705262905477,58.42729279095935,16.84060855518808,0.12239234118383205,1.016786895397211,2.9063828297567444,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.046875,1.125,4
10,4,18.561705262905477,58.42729279095935,16.84060855518808,0.1252923302998467,1.0413707134845644,2.942003035387777,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.04375,1.125,5
10,5,18.561705262905477,58.42729279095935,16.84060855518808,0.11943547152421954,1.0134912787852426,2.9326035209286876,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.040625,1.125,5
10,6,18.561705262905477,58.42729279095935,16.84060855518808,0.12976678017864807,1.0381128058517248,2.881793012298934,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.09375,0.96875,1.05625,1.125,5
10,7,18.561705262905477,58.42729279095935,16.84060855518808,0.1387192623991882,1.0612683904232765,2.8494224627374343,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.04375,1.125,5
10,8,18.561705262905477,58.42729279095935,16.84060855518808,0.11709549710569772,1.0108027315091432,2.9539035416794945,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.040625,1.125,5
10,9,18.561705262905477,58.42729279095935,16.84060855518808,0.11931476238945496,1.013490726440273,2.934084984571168,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.0390625,1.125,4
10,10,18.561705262905477,58.42729279095935,16.84060855518808,0.11877872689096017,1.0131946240213925,2.9398389781744494,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.040625,1.125,5
10,11,18.561705262905477,58.42729279095935,16.84060855518808,0.1304384768674555,1.0487979744887654,2.903948970614816,0.13538427845979126,1.0579320635329144,2.8752370923246393,1.125,1.125,1.015625,1.0625,1.125,4
10,12,18.561705262905477,58.42729279095935,16.84060855518808,0.12907689708691178,1.0375050863502577,2.887792446815074,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.09375,0.984375,1.046875,1.125,4
10,13,18.561705262905477,58.42729279095935,16.84060855518808,0.13601036965265512,1.058697864384254,2.870688215920094,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,0.984375,1.04375,1.125,5
10,14,18.561705262905477,58.42729279095935,16.84060855518808,0.11594879644879616,1.0092664309775614,2.9639625091747868,0.1313068765266598,1.0538192218704785,2.908187347221465,1.125,1.078125,1.03125,1.06640625,1.125,4
10,15,18.561705262905477,58.42729279095935,16.84060855518808,0.14189154691701783,1.0531170186802195,2.7957502307891877,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,1.015625,1.0625,1.109375,5
10,16,18.561705262905477,58.42729279095935,16.84060855518808,0.11644989825623608,1.0094986206326126,2.958258854891705,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.078125,0.984375,1.05,1.125,5
10,17,18.561705262905477,58.42729279095935,16.84060855518808,0.1185763792880556,1.0119724086696738,2.938796941041513,0.13539567465509023,1.0579213496121802,2.8750869690876373,1.125,1.078125,0.90625,1.025,1.125,5
10,18,18.561705262905477,58.42729279095935,16.84060855518808,0.12922695937115636,1.0454122609855427,2.908111316987089,0.1339448647382695,1.0563924263896844,2.886438076788931,1.125,1.125,1.0,1.053125,1.125,5
10,19,18.561705262905477,58.42729279095935,16.84060855518808,0.1414420440015618,1.0547255600354637,2.8044661915859628,0.13949651652945474,1.0620341912746158,2.8435234711544863,1.125,1.125,1.015625,1.053125,1.109375,5
