combo_id,n_degenerate,mad_risk,sd_risk,mad_return,sd_return,mad_sharpe,sd_sharpe,score,gamma,beta,lambda_1,lambda_2,lambda_3
75,0.0,0.002992355888474567,0.0,0.04032596246299647,0.0,0.044548279601615004,0.0,0.25404966403197066,1.211498161777854,0.8985487009398639,8.168847795203328,2.4915161253884435,49.872594559006394
80,0.0,0.0033526559402817695,0.004407702657369668,0.01325742930866155,0.015290792446410953,0.02389823700045184,0.026432661949709092,0.26441106923629487,9.594391419552267,4.107220804691314,5.632187387347221,19.004510446451604,14.486580688413232
384,0.0,0.004437968440446903,0.0034572976163641054,0.014449876251576116,0.012129184877708253,0.03535994262821648,0.026303049678659877,0.28642751627329577,9.29924891423434,4.9276242105290295,8.310115126427263,15.907231217250228,25.2538602123037
215,0.0,0.002850896909203659,0.0031665914420095156,0.00979045425439913,0.013527761513607068,0.0566661259153051,0.03960468099214056,0.29867288011003434,6.578661100007594,1.2389855870045723,7.4388034481555225,8.94877678528428,27.7764473637566
294,0.0,0.0021291411278379167,0.001253203143622714,0.03007552269534928,0.013013303092570939,0.04686497831331228,0.03407727856640677,0.30168888968776464,11.814846551977098,4.225196142867207,7.638484589476138,1.395768653601408,43.21789587382227
324,0.0,0.004651400459934009,0.0021653491172089977,0.01287151133679898,0.009181827167466024,0.06787623752453419,0.0204945453997595,0.3102439792406452,2.7272539865225554,2.842975414451212,9.826805172301828,17.40535725094378,36.097659058496355
208,0.0,0.0024917001268472995,0.0029935456737183366,0.012776553303703864,0.012345427153505967,0.06048451903916781,0.04532669876758861,0.31109996497506753,9.44987101946026,3.28847624687478,8.287632352579385,31.08297927957028,35.505142574198544
20,0.0,0.004291522283612682,0.005393376922951253,0.013889901502203494,0.017827863451632456,0.027246691885349617,0.034303548541778923,0.3163180657756463,1.690690852701664,4.194705548323691,9.86227470599115,26.278117670677602,27.39358097650111
283,0.0,0.0025123410239622965,0.0025592144952975245,0.025686812352661247,0.012560393437595286,0.05316916971799376,0.03254573397109225,0.31831570053239894,3.139039561152458,2.303209916315973,8.427001358754932,41.77803869172931,39.85200786944479
148,0.0,0.0049838798343437235,0.0034391148879209374,0.01686441255955596,0.012939824719109615,0.04951242815044722,0.03100119549617357,0.33524827908299815,1.843036251142621,3.2033841543830937,6.317376671079546,14.308178472332656,22.01064033107832
143,0.0,0.0026457190819565604,0.0031143431481334733,0.018342321017218534,0.015560805697887863,0.056429623537275084,0.04906928409513069,0.33827170719751654,10.077310669235885,1.8371478291228416,9.977957918960602,7.1119460025802255,38.88829018473625
178,0.0,0.002796315409250744,0.0036183920614005893,0.019284957762298084,0.01784909985278703,0.05233335270108967,0.04347371168641085,0.3412446366133674,19.344593588262796,4.9688720241189,9.180976200290024,40.77755136881024,40.68861670382321
420,0.0,0.0030453864035400596,0.0031585066505405547,0.02656472601630112,0.019614625073866427,0.0444922992263644,0.03780750184742215,0.3460843448922739,3.0256236232817173,3.963857094291598,8.138911304157228,74.83732540719211,43.929459537751974
442,0.0,0.002785392857794055,0.0020356729197071833,0.030937235707247945,0.012087772298004357,0.053416377227124744,0.04609359605123068,0.3497002582373274,17.051116179674864,3.8848299359902745,6.888802180904895,9.796287496574223,34.32161291409284
406,0.0,0.0030890197667856464,0.002978199138979136,0.02664704713448617,0.015065785685803582,0.04766767712316292,0.04574255003912233,0.3497113047159869,10.721787790767848,2.5790127113461496,4.8100383539684115,20.777058040723205,22.968226508051156
76,0.0,0.003258029466944046,0.002228750380034526,0.03695838385026311,0.01163918355558517,0.05256884663187211,0.03253843529122918,0.35905012101927036,5.168447216972709,3.5582595006562774,7.480772972572595,36.277049673721194,38.895031278766695
482,0.0,0.0029671347083493104,0.0021477950010727305,0.034218507792492234,0.015153665680931043,0.05147877542693573,0.04245757026236361,0.3637710160124946,18.30247680284083,3.2579573404975237,9.271134755387902,6.215849824249744,44.653674545511606
48,0.0,0.002934057735406518,0.003742704001216396,0.021757560934852465,0.01952029753289726,0.051243307718954,0.05520748339381705,0.37013695825914383,10.339671886526048,4.38805841030553,9.06749235764146,85.98859210964292,46.458726624771955
462,0.0,0.0033935705556939117,0.0033499382701127284,0.027596428250891314,0.017520306044953672,0.043438223280208924,0.05289532418715071,0.37021787333113343,14.329600238241255,4.402177372109145,2.3962842356413603,16.997620335780084,12.248605367355047
184,0.0,0.004500089626558542,0.0002832121623964195,0.05872940343532662,0.0022449631997040914,0.055635552525936806,0.0041836795367693564,0.37073432465404654,7.077346072532237,4.504299543704837,4.682952457759529,3.524782959371805,33.36576389772817
510,0.0,0.004996757908313591,0.006099901682684145,0.01591693691409269,0.017302596928326256,0.03936676325855211,0.04055583014867589,0.37097393868316025,13.08099580835551,3.7949461158365017,8.644331990275532,48.40969603229314,20.831512593198568
258,0.0,0.003464568114293698,0.0042811185061813325,0.016157229419364403,0.01923817389718275,0.05376498562153827,0.0549628303880191,0.37134953243448077,18.009977914392948,4.434091398399323,8.5107616760768,61.109282556921244,36.91912104208022
352,0.0,0.003310223156259365,0.0037147140686199062,0.02210959148425152,0.0189639152099626,0.05324090161977578,0.05195484145899366,0.37509379832610423,8.411840570159256,3.6724502667784695,8.766093347035348,70.0240911860019,42.49366283454001
87,0.0,0.00582580322565079,0.005695957953419608,0.023159935777291633,0.01835220628926916,0.029006592294151222,0.03560035223854682,0.38095613714598,6.43645132984966,1.5605321595445276,8.818229591939598,47.3605465143919,22.23690443141386
256,0.0,0.00349467327652166,0.003838532491584151,0.02270632283792783,0.017525555996878182,0.05695117879303639,0.05504694590084072,0.38855673515548245,9.147770931012928,2.7791081068106,5.396953980438411,27.985794940963387,24.542964969482274
451,0.0,0.006787777896071982,0.003208753331366315,0.02096885070598765,0.010208926123323483,0.06924008934917666,0.030376854945739336,0.40205793018974134,4.535778444260359,2.044323624484241,7.884820141457022,7.250200857408345,24.391556225810202
237,0.0,0.0036019715099382898,0.004409406785836123,0.02145831650544768,0.023494587639188613,0.060270740396105325,0.04834004959862534,0.40476040214759224,19.757783519104123,0.13907405892387034,7.757687112130225,15.199396866373718,31.95121441613883
244,0.0,0.003726503756867591,0.004059517591076759,0.027580360122649295,0.024427724291211303,0.04343437002160396,0.05604548663008161,0.405037593691954,1.3900739345699549,2.9231667805463077,7.840840821061283,84.47602046560496,41.511576233245435
251,0.0,0.005622874954727015,0.002854618001214598,0.015395175540953302,0.012293702271331888,0.0922679937984334,0.031270108075583794,0.4062491668134456,2.304556356742978,2.5447233705781405,4.257619744166732,19.73055915813893,17.105393478646874
338,0.0,0.0036179700588054088,0.004364963917201689,0.016602501720878616,0.019567420068791096,0.06595496214762167,0.062017434179017124,0.4071931160310507,19.585576010867953,4.750985945109278,3.4263389181345705,25.313213208690286,15.102315407060086
41,0.0,0.004896730980932208,0.005675102460699693,0.016767554624966527,0.02059227011537675,0.051624779616484706,0.05335298412805306,0.4120563855387652,10.809345765970647,2.271493808180094,9.141424276586623,16.898692443035543,30.265286661684513
312,0.0,0.004221957651321553,0.00485495949263792,0.019475685511022377,0.022801081224576445,0.0561727525886252,0.05899909658957368,0.4194508995039735,7.139625175856054,4.308856457006186,6.393352583330125,67.21415068488568,28.655435946024955
391,0.0,0.0037918498050586343,0.004035651281162145,0.026473334714679563,0.021102298752122932,0.05405600240465007,0.062239325801715324,0.4206776561973466,7.318408052437007,1.959224595502019,7.300266988761723,50.48211254645139,36.22470312546939
323,0.0,0.004023778573826309,0.005331602215517277,0.019962947274372637,0.025684502357144156,0.051302726662852835,0.05929275892121585,0.4224983821977409,4.3927014004439116,0.4513367366977036,5.899630333390086,45.74630905035883,25.2347119435668
104,0.0,0.003885366523186551,0.00463233185265044,0.023538280041879554,0.025065191124528242,0.05133922387298619,0.06152739572451477,0.4242297046382818,6.692431648261845,2.5744633501395584,6.491969762835652,76.16070670448244,32.62123735565692
427,0.0,0.003752418946568442,0.004628123792133635,0.01704292912362156,0.021416692916909938,0.06871633497110381,0.06593431082381443,0.42830344343787236,2.157454025000334,0.8101818593218922,4.294642273522913,36.387379264459014,19.511088217422365
234,0.0,0.003950568040511227,0.00491979400319532,0.021690076838813865,0.023383555894414973,0.05876698944822619,0.06661489160559159,0.4384006185494712,15.718244360759854,3.1457458700053396,6.615197658445686,49.82276988402009,30.355769864656033
124,0.0,0.0042197568969124626,0.0005996377338425915,0.06197047922597304,0.00504836610780337,0.08137900781568107,0.010639617027308939,0.4394939267164769,4.077131815254688,2.9594025781378153,3.552981143444777,4.91285814344883,28.765454491320998
382,0.0,0.004820467083986826,0.0015548393090026509,0.05195536090024697,0.012066800675590045,0.05203342085790121,0.04517731028011046,0.44050959727819056,12.936188180930912,3.598359051253647,5.060318354144692,11.41893667820841,29.379405576363208
508,0.0,0.0040007955387669925,0.003750595262818292,0.03627331861750055,0.02587021854347349,0.047553711399247356,0.05453759034765233,0.44180896160746574,4.130710648372769,3.3274104716256265,5.570338133536279,65.59834845270962,33.59761335514486
414,0.0,0.0034242572075913655,0.003553741476721042,0.03166746910965089,0.018862838737042475,0.06324183136124889,0.0674679988823554,0.44216877390440146,13.829449224285781,4.700247816834599,7.065588585380465,55.80608130712062,40.30276823733002
44,0.0,0.0069226972678174264,0.006409585735862703,0.02762226653501239,0.01742909980354766,0.035252296294595864,0.0454449258897332,0.44352643457674124,5.021945280954242,2.663723525032401,8.383667002338916,68.71981922350824,19.419223511684688
319,0.0,0.004796272005855036,0.005006795189249381,0.020530896469874386,0.023306033133915934,0.05989728232059745,0.06071882403686075,0.4440823827705084,8.740421100519598,1.4578894362784924,8.018314629606904,95.55823350325227,33.2617045847699
192,0.0,0.0031357758978856664,0.0035956561420275646,0.03114007219370164,0.025993216006150607,0.06652436781915681,0.060479570299380975,0.4497656047449652,8.778710722923279,4.565704675577581,6.756144407019019,114.26249666139483,43.50813191272319
267,0.0,0.00429320989107929,0.005210356534099395,0.02178156193273675,0.02606318811715486,0.0561771967113218,0.06651300298532435,0.44981326804714505,1.4282373199239373,1.262851394992322,6.633921234216541,103.17876537423581,31.460329356044532
419,0.0,0.0034522375611971924,0.00298654022067543,0.039717221138362485,0.02164208012516571,0.06359162651935647,0.05436118898450804,0.4513075427549209,3.5029912032186985,1.722810009401292,6.350779437832534,89.97557945270091,42.30418415572494
284,0.0,0.006099477610553886,0.0012404991007123611,0.06805411700310057,0.008642549015444959,0.04363983099285422,0.018224916779098033,0.45154073682423085,3.8300397247076035,4.656530598923564,7.261253223475069,20.433089087717235,47.59989456851035
