gamma,run,caa_risk,caa_return,caa_sharpe,aa_risk,aa_return,aa_sharpe,l1_weight_distance,n_communities,aa_raw_sum,caa_upper_raw_sum,caa_inner_raw_sum_min,caa_w_0,caa_w_1,caa_w_2,caa_w_3,caa_w_4,caa_w_5,caa_w_6,caa_w_7,caa_w_8,caa_w_9,caa_w_10,caa_w_11,caa_w_12,caa_w_13,caa_w_14,caa_w_15,caa_w_16,caa_w_17,caa_w_18,caa_w_19,aa_w_0,aa_w_1,aa_w_2,aa_w_3,aa_w_4,aa_w_5,aa_w_6,aa_w_7,aa_w_8,aa_w_9,aa_w_10,aa_w_11,aa_w_12,aa_w_13,aa_w_14,aa_w_15,aa_w_16,aa_w_17,aa_w_18,aa_w_19
8.0,0,0.05184832038361032,0.7956846342397835,3.4944081153502564,0.054494914023477586,0.8234948636767527,3.5276290377930675,0.33123891034338804,5,1.046875,1.046875,0.984375,0.0,0.02261420171867933,0.0,0.027137042062415195,0.4580941446613088,0.0,0.0,0.12663952962460423,0.04070556309362279,0.0,0.08141112618724558,0.0642939150401837,0.0,0.0,0.06061997703788748,0.0,0.0,0.0,0.0,0.1184845005740528,0.0,0.029850746268656716,0.0,0.029850746268656716,0.4626865671641791,0.0,0.0,0.13432835820895522,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,1,0.055809382274255935,0.8142875386088058,3.446864259645175,0.055972255260240966,0.8303799033821291,3.5098651165544794,0.43526953974715166,5,1.046875,1.046875,0.890625,0.0,0.015636105188343994,0.0,0.02345415778251599,0.5328580975718423,0.0,0.0,0.02804161013116237,0.07296849087893864,0.0,0.05212035062781331,0.014473089099954772,0.0,0.0,0.011583871686344397,0.0,0.0,0.017186793306196293,0.0,0.23167743372688793,0.0,0.04477611940298507,0.0,0.0,0.4626865671641791,0.0,0.0,0.13432835820895522,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492538
8.0,2,0.055886801917259234,0.8138399215651745,3.4425825303988993,0.054301776315335386,0.8226758766535065,3.530382360106943,0.3752942020665901,5,1.046875,1.046875,0.953125,0.0,0.0,0.0,0.03237657864523536,0.5180252583237658,0.0,0.0,0.07646383467278989,0.05396096440872561,0.0,0.09712973593570609,0.0,0.0,0.017957089552238806,0.05786452353616533,0.0,0.0,0.0,0.0,0.14622201492537312,0.0,0.029850746268656716,0.0,0.029850746268656716,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
8.0,3,0.05613389979924129,0.803389429419921,3.3908884706070976,0.05563990157460111,0.8290055667240299,3.5145058478937403,0.5795030529172319,5,1.046875,1.046875,0.9375,0.0,0.02397105382180009,0.0,0.011985526910900044,0.5033921302578018,0.0,0.0,0.012826492537313433,0.0,0.0,0.10786974219810039,0.044097693351424695,0.0,0.0,0.04703753957485301,0.0020988805970149254,0.0,0.14382632293080053,0.0,0.10289461781999096,0.0,0.029850746268656716,0.0,0.0,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.14925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
8.0,4,0.05946308516020639,0.832555347100325,3.414203437840839,0.05291747427960071,0.8157503388517297,3.5461549573252897,0.40100198309153523,5,1.046875,1.046875,0.890625,0.0037313432835820895,0.022043628013777267,0.0,0.022043628013777267,0.5180252583237658,0.0,0.012211668928086837,0.017639077340569877,0.0661308840413318,0.0,0.08817451205510907,0.008141112618724558,0.0,0.0,0.006784260515603799,0.0,0.0,0.0,0.0,0.23507462686567163,0.0,0.04477611940298507,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.1791044776119403,0.0,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402985074626866
8.0,5,0.05226578038063106,0.8050921215746825,3.5215743110013698,0.056291276679306515,0.8316836350789056,3.505400197200214,0.19793340987370833,5,1.046875,1.046875,0.890625,0.0,0.010562571756601608,0.0,0.03168771526980482,0.4753157290470723,0.0,0.0,0.11940298507462686,0.03168771526980482,0.0,0.08450057405281286,0.05281285878300804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402985074626866,0.0,0.029850746268656716,0.0,0.029850746268656716,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402985074626866
8.0,6,0.05120266870548419,0.7993983146741034,3.5327827386550905,0.05709570390555415,0.83540382974902,3.4961877445161234,0.27757424130781233,5,1.046875,1.046875,0.984375,0.0,0.0,0.0,0.01225217197594119,0.47783470706170644,0.0,0.0,0.22053909556694143,0.0,0.0,0.11026954778347071,0.05235361653272101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267508610792193,0.0,0.04477611940298507,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402985074626866
8.0,7,0.055186969642501346,0.8058070000747083,3.4301472360965297,0.05478766535128192,0.8250217346655221,3.5247148862220214,0.44121177330132555,5,1.046875,1.046875,0.984375,0.0,0.021584385763490244,0.0,0.021584385763490244,0.4964408725602756,0.0,0.0,0.09888059701492537,0.07554535017221585,0.0,0.08633754305396098,0.035278154681139755,0.0,0.0,0.0,0.0,0.020522388059701493,0.04884667571234735,0.0,0.09497964721845317,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.16417910447761194,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19402985074626866
8.0,8,0.05033809450337779,0.7983593197543783,3.5583610646798363,0.05284774889799142,0.8160139762401231,3.549640335649725,0.2076519973661106,4,1.046875,1.0625,0.984375,0.0,0.01251097453906936,0.0,0.01251097453906936,0.5004389815627743,0.0,0.0,0.22519754170324846,0.0,0.0,0.08757682177348551,0.0,0.0,0.0,0.0,0.00505514705882353,0.0,0.0,0.0,0.1567095588235294,0.0,0.029850746268656716,0.0,0.014925373134328358,0.4626865671641791,0.0,0.0,0.16417910447761194,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
8.0,9,0.056987743400034006,0.8168055779753459,3.421589975215603,0.054301776315335386,0.8226758766535065,3.530382360106943,0.3377035278154681,5,1.046875,1.046875,0.984375,0.0,0.021584385763490244,0.0,0.021584385763490244,0.4964408725602756,0.0,0.0,0.04206241519674356,0.06475315729047072,0.0,0.09712973593570609,0.021709633649932156,0.0,0.0228544776119403,0.0,0.0,0.0,0.025780189959294438,0.0,0.18610074626865672,0.0,0.029850746268656716,0.0,0.029850746268656716,0.4626865671641791,0.0,0.0,0.14925373134328357,0.0,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597
